#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
1	900.000	8.451	899.770
2	900.000	8.595	899.799
3	900.000	8.355	899.828
4	900.000	7.806	899.845
5	900.000	7.422	899.862
6	900.000	7.030	899.875
7	900.000	6.739	899.890
8	900.000	6.572	899.899
9	900.000	6.352	899.904
10	900.000	6.297	899.915
11	900.000	6.219	899.919
12	900.000	6.169	899.926
13	900.000	6.177	899.931
14	900.000	6.084	899.940
15	900.000	6.056	899.944
16	900.000	6.081	899.946
17	900.000	6.016	899.946
18	900.000	5.984	899.952
19	900.000	6.012	899.957
20	900.000	5.997	899.956
21	900.000	5.962	899.960
22	900.000	5.949	899.961
23	900.000	5.932	899.966
24	900.000	5.969	899.970
25	900.000	5.928	899.969
26	900.000	5.911	899.972
27	900.000	5.898	899.973
28	900.000	5.909	899.976
29	900.000	5.913	899.976
30	900.000	5.875	899.979
31	900.000	5.886	899.982
32	900.000	5.866	899.984
33	900.000	5.818	899.979
34	900.000	5.840	899.982
35	900.000	5.789	899.982
36	900.000	5.837	899.986
37	900.000	5.845	899.985
38	900.000	5.809	899.988
39	900.000	5.793	899.984
40	900.000	5.795	899.987
41	900.000	5.772	899.987
42	900.000	5.767	899.989
43	900.000	5.743	899.996
44	900.000	5.803	899.986
45	900.000	5.741	899.991
46	900.000	5.815	899.988
47	900.000	5.734	899.989
48	900.000	5.735	899.990
49	900.000	5.742	899.988
50	900.000	5.818	899.987
51	900.000	5.767	899.992
52	900.000	5.790	899.989
53	900.000	5.772	899.998
54	900.000	5.754	899.991
55	900.000	5.732	899.995
56	900.000	5.739	899.992
57	900.000	5.710	899.992
58	900.000	5.750	899.996
59	900.000	5.764	899.995
60	900.000	5.738	899.996
61	900.000	5.765	899.995
62	900.000	5.758	899.997
63	900.000	5.728	899.994
64	900.000	5.681	899.994
65	900.000	5.724	899.997
66	900.000	5.722	899.996
67	900.000	5.731	899.997
68	900.000	5.738	899.996
69	900.000	5.723	899.995
70	900.000	5.752	899.999
71	900.000	5.749	899.999
72	900.000	5.751	899.997
73	900.000	5.717	899.997
74	900.000	5.732	899.997
75	900.000	5.700	899.998
76	900.000	5.747	900.000
1	900.000	5.668	899.999
2	900.030	5.654	899.999
3	900.060	5.631	900.002
4	900.090	5.656	900.007
5	900.090	5.624	900.015
6	900.120	5.436	900.029
7	900.150	5.180	900.045
8	900.180	4.797	900.062
9	900.210	4.166	900.079
10	900.240	3.261	900.099
11	900.270	2.154	900.125
12	900.300	1.248	900.150
13	900.330	0.590	900.176
14	900.360	0.302	900.202
15	900.390	0.043	900.223
16	900.420	-0.323	900.256
17	900.450	-0.971	900.279
18	900.480	-2.021	900.313
19	900.510	-3.360	900.338
20	900.540	-4.885	900.366
21	900.570	-5.939	900.400
22	900.600	-6.398	900.429
23	900.630	-6.381	900.458
24	900.660	-6.607	900.488
25	900.690	-7.186	900.517
26	900.720	-8.119	900.548
27	900.750	-9.109	900.578
28	900.780	-9.830	900.606
29	900.810	-10.597	900.633
30	900.840	-10.814	900.667
31	900.870	-10.481	900.695
32	900.900	-9.999	900.726
33	900.930	-10.055	900.756
34	900.960	-10.472	900.787
35	900.990	-10.569	900.817
36	901.020	-10.481	900.848
37	901.050	-10.248	900.877
38	901.080	-9.868	900.911
39	901.110	-9.197	900.940
40	901.140	-8.156	900.969
41	901.170	-7.463	901.000
42	901.200	-7.241	901.029
43	901.230	-6.967	901.058
44	901.260	-6.638	901.092
45	901.290	-6.242	901.122
46	901.320	-6.000	901.149
47	901.350	-5.428	901.178
48	901.380	-4.291	901.212
49	901.410	-3.286	901.235
50	901.440	-2.858	901.269
51	901.470	-2.654	901.300
52	901.500	-2.102	901.330
53	901.530	-1.521	901.362
54	901.560	-1.053	901.392
55	901.590	-0.416	901.420
56	901.620	0.508	901.448
57	901.650	1.702	901.480
58	901.680	2.426	901.509
59	901.710	2.564	901.540
60	901.740	2.848	901.568
61	901.770	3.222	901.601
62	901.800	3.451	901.628
63	901.830	3.770	901.659
64	901.860	4.354	901.688
65	901.890	5.259	901.716
66	901.920	5.919	901.750
67	901.950	6.037	901.783
68	901.980	6.072	901.811
69	902.010	6.277	901.838
70	902.040	6.465	901.871
71	902.070	6.614	901.904
72	902.100	6.770	901.931
73	902.130	7.267	901.957
74	902.160	7.806	901.991
75	902.190	7.923	902.023
76	902.220	7.701	902.050
77	902.250	7.300	902.078
78	902.280	6.969	902.107
79	902.310	6.893	902.140
80	902.340	6.913	902.169
81	902.370	7.167	902.199
82	902.400	7.451	902.234
83	902.430	7.529	902.260
84	902.460	7.151	902.288
85	902.490	6.439	902.320
86	902.520	5.720	902.349
87	902.550	5.124	902.381
88	902.580	4.850	902.408
89	902.610	4.790	902.441
90	902.640	4.873	902.471
91	902.670	4.851	902.500
92	902.700	4.688	902.529
93	902.730	4.307	902.560
94	902.760	3.954	902.588
95	902.790	3.719	902.623
96	902.820	3.469	902.652
97	902.850	3.257	902.682
98	902.880	3.047	902.706
99	902.910	2.878	902.741
100	902.940	2.280	902.774
101	902.970	1.288	902.802
102	903.000	0.363	902.835
103	903.030	-0.338	902.862
104	903.060	-0.876	902.891
105	903.090	-1.365	902.922
106	903.120	-1.903	902.951
107	903.150	-2.228	902.981
108	903.180	-2.808	903.011
109	903.210	-3.582	903.042
110	903.240	-4.400	903.074
111	903.270	-4.892	903.103
112	903.300	-5.189	903.132
113	903.330	-5.406	903.163
114	903.360	-5.637	903.187
115	903.390	-5.872	903.222
116	903.420	-6.087	903.249
117	903.450	-6.406	903.282
118	903.480	-6.743	903.312
119	903.510	-6.971	903.339
120	903.540	-7.038	903.372
121	903.570	-7.187	903.402
122	903.600	-7.442	903.428
123	903.630	-7.321	903.459
124	903.660	-7.335	903.494
125	903.690	-7.357	903.521
126	903.720	-7.321	903.550
127	903.750	-7.423	903.579
128	903.780	-7.454	903.607
129	903.810	-7.365	903.641
130	903.840	-7.305	903.673
131	903.870	-7.096	903.702
132	903.900	-6.693	903.728
133	903.930	-6.372	903.760
134	903.960	-6.259	903.793
135	903.990	-6.262	903.819
136	904.020	-6.277	903.851
137	904.050	-6.086	903.876
138	904.080	-5.841	903.910
139	904.110	-5.657	903.941
140	904.140	-5.350	903.971
141	904.170	-4.867	904.002
142	904.200	-4.603	904.030
143	904.230	-4.473	904.060
144	904.260	-4.311	904.093
145	904.290	-3.788	904.120
146	904.320	-2.991	904.151
147	904.350	-2.110	904.180
148	904.380	-1.270	904.209
149	904.410	-0.156	904.240
150	904.440	0.915	904.269
151	904.470	1.638	904.298
152	904.500	2.426	904.329
153	904.530	3.262	904.359
154	904.560	4.408	904.387
155	904.590	5.433	904.423
156	904.620	6.139	904.448
157	904.650	6.705	904.478
158	904.680	7.192	904.511
159	904.710	7.528	904.541
160	904.740	7.821	904.570
161	904.770	8.216	904.602
162	904.800	8.923	904.631
163	904.830	9.665	904.661
164	904.860	9.930	904.690
165	904.890	9.893	904.721
166	904.920	9.867	904.754
167	904.950	10.003	904.780
168	904.980	10.119	904.811
169	905.010	10.428	904.844
170	905.040	10.625	904.871
171	905.070	10.586	904.901
172	905.100	10.323	904.932
173	905.130	9.831	904.959
174	905.160	9.417	904.991
175	905.190	9.084	905.020
176	905.220	8.640	905.050
177	905.250	8.159	905.082
178	905.280	7.679	905.109
179	905.310	6.973	905.141
180	905.340	6.321	905.173
181	905.370	5.632	905.202
182	905.400	4.955	905.230
183	905.430	4.256	905.260
184	905.460	3.498	905.291
185	905.490	2.755	905.324
186	905.520	2.206	905.352
187	905.550	1.710	905.380
188	905.580	1.157	905.411
189	905.610	0.506	905.438
190	905.640	-0.352	905.468
191	905.670	-1.215	905.503
192	905.700	-2.070	905.533
193	905.730	-2.882	905.558
194	905.760	-3.561	905.592
195	905.790	-4.328	905.619
196	905.820	-5.128	905.650
197	905.850	-5.823	905.680
198	905.880	-6.235	905.710
199	905.910	-6.802	905.746
200	905.940	-7.371	905.772
201	905.970	-7.861	905.800
202	906.000	-8.188	905.831
203	906.030	-8.301	905.863
