#Frequency/(GHz)	Photocurrent/(nA)
901.345	9.368
902.815	7.688
904.239	9.039
905.455	9.528
906.653	9.377
908.064	10.162
909.475	9.610
910.795	8.935
912.131	9.967
913.316	10.408
914.666	8.957
916.149	7.974
917.456	9.095
918.671	9.250
920.066	8.165
921.356	8.850
922.526	8.793
923.860	8.640
925.316	9.755
926.652	9.295
927.972	9.074
929.384	10.190
930.598	10.302
931.962	9.281
933.402	8.976
934.601	9.538
935.890	9.016
937.330	8.624
938.562	8.932
939.778	8.392
941.126	7.935
942.475	8.697
943.737	8.355
945.042	7.899
946.437	8.518
947.772	8.657
949.212	8.126
950.577	8.467
951.760	9.377
953.157	8.812
954.507	8.467
955.736	9.093
957.192	8.369
958.616	8.287
959.801	9.019
961.136	7.863
962.485	8.105
963.701	9.758
965.021	8.421
966.327	7.983
967.631	9.065
968.921	8.300
970.346	8.114
971.742	8.154
972.884	8.156
974.293	9.027
975.717	9.395
976.916	9.468
978.237	8.653
979.525	8.256
980.785	8.915
982.167	7.869
983.427	7.176
984.626	7.521
986.022	6.010
987.418	4.561
988.887	4.692
990.282	5.457
991.571	6.344
992.997	6.698
994.183	6.636
995.458	6.614
996.956	7.271
998.232	8.200
999.507	7.316
1000.812	6.772
1002.102	7.604
1003.479	7.461
1004.786	7.395
1006.091	7.835
1007.335	7.710
1008.656	7.312
1010.111	8.566
1011.373	8.816
1012.648	8.055
1014.026	8.767
1015.301	8.680
1016.635	7.832
1018.046	8.171
1019.306	8.489
1020.612	7.445
1021.962	7.367
1023.193	8.114
1024.424	7.278
1025.847	7.491
1027.224	8.612
1028.454	8.124
1029.808	8.538
1031.158	9.415
1032.403	8.842
1033.768	8.354
1035.087	8.548
1036.317	8.511
1037.668	8.168
1038.960	8.095
1040.174	7.973
1041.566	7.311
1042.990	7.402
1044.190	7.884
1045.435	7.546
1046.833	7.535
1048.152	7.892
1049.440	7.099
1050.834	6.658
1052.214	7.497
1053.504	7.563
1054.871	6.817
1056.179	7.144
1057.376	7.193
1058.754	7.131
1060.178	8.046
1061.378	7.877
1062.535	6.965
1063.918	7.062
1065.298	7.459
1066.556	7.302
1067.862	7.162
1069.151	7.424
1070.424	7.045
1071.848	6.195
1073.169	6.571
1074.400	7.295
1075.766	7.094
1077.087	7.073
1078.346	6.818
1079.603	6.288
1080.940	6.741
1082.202	6.518
1083.343	5.853
1084.723	5.950
1086.055	5.751
1087.253	4.841
1088.603	3.857
1089.879	3.672
1091.142	3.338
1092.327	2.303
1093.509	1.543
1094.755	0.865
1096.106	0.313
1097.351	0.064
1098.101	0.067
1099.150	0.300
1100.514	0.707
1101.775	1.279
1103.067	1.787
1104.237	2.340
1105.421	2.710
1106.711	2.878
1108.017	3.090
1109.187	2.962
1110.446	2.620
1111.810	2.177
1113.251	1.681
1114.810	1.980
1116.114	2.838
1117.330	3.402
1118.710	3.745
1119.985	3.908
1121.230	4.352
1122.583	4.729
1123.796	4.652
1125.010	4.666
1126.300	4.393
1127.695	4.683
1129.047	5.270
1130.276	5.204
1131.580	5.446
1132.931	5.577
1134.250	5.250
1135.540	5.018
1136.861	5.277
1138.182	5.544
1139.529	5.171
1140.773	4.971
1141.990	4.837
1143.262	4.669
1144.537	4.896
1145.846	4.629
1147.107	4.284
1148.455	3.984
1149.761	3.494
1150.915	2.910
1152.309	2.189
1153.705	1.950
1154.997	1.959
1156.348	1.795
1157.548	1.637
1158.717	1.276
1159.916	0.683
1161.462	0.284
1163.831	0.188
1165.869	0.546
1167.054	1.100
1168.179	1.542
1169.426	2.184
1170.642	3.000
1171.856	2.966
1173.114	2.964
1174.376	3.899
1175.713	4.162
1177.048	3.628
1178.291	3.827
1179.519	4.188
1180.870	4.133
1182.238	4.227
1183.483	4.423
1184.711	3.929
1186.090	3.655
1187.441	4.203
1188.658	4.206
1189.916	4.140
1191.252	4.377
1192.484	4.335
1193.817	4.098
1195.271	4.240
1196.561	4.736
1197.804	4.507
