Frequency/(GHz)	Photocurrent/(nA)
202.825	539.779
204.374	418.542
205.845	528.931
206.820	486.744
208.347	365.791
209.923	483.166
211.048	529.407
212.523	444.633
213.998	497.100
214.946	480.258
216.368	358.263
217.870	481.567
218.947	562.658
219.973	395.503
221.598	326.192
223.297	419.236
224.600	369.145
225.899	424.518
226.999	526.094
228.127	403.396
229.623	368.062
231.071	495.077
232.146	507.362
233.597	424.377
235.148	382.948
236.374	368.023
237.824	393.861
239.197	449.449
240.247	467.952
241.749	395.733
243.148	328.007
244.372	322.351
245.923	292.431
247.148	334.158
248.274	422.328
249.499	331.404
250.871	290.381
252.422	340.629
253.649	317.113
255.023	368.794
256.397	385.578
257.448	317.248
258.948	288.871
260.395	272.439
261.497	312.515
263.050	320.370
264.450	312.707
265.573	334.932
267.197	267.053
268.523	272.806
269.548	326.525
271.124	265.602
272.473	274.422
273.573	316.776
274.722	280.911
276.072	319.291
277.549	334.484
278.698	284.450
280.073	295.712
281.475	315.781
282.698	293.007
284.222	282.415
285.647	298.714
286.722	291.315
288.147	252.227
289.621	256.819
290.799	260.532
292.349	231.137
293.773	284.109
294.873	325.462
295.974	254.134
297.324	240.011
298.822	254.943
299.973	205.523
301.349	244.543
302.700	308.229
303.824	280.982
305.323	246.730
306.849	221.697
308.097	216.982
309.471	221.562
310.824	261.435
311.924	271.947
313.323	196.477
314.823	183.598
316.047	233.749
317.298	218.845
318.649	236.270
319.869	246.555
321.070	189.704
322.697	194.297
324.148	230.340
325.148	214.121
326.547	203.359
328.024	217.829
329.174	198.553
330.698	174.591
332.171	203.965
333.296	225.898
334.723	195.346
336.069	213.230
337.270	218.928
338.798	168.753
340.172	187.848
341.148	227.117
342.273	184.537
343.846	164.639
345.247	178.392
346.422	157.851
347.922	184.296
349.273	238.678
350.372	215.308
351.797	188.003
353.323	203.371
354.522	190.892
355.897	173.459
357.273	209.845
358.473	205.062
359.923	146.140
361.324	157.406
362.475	201.215
363.848	178.353
365.222	178.035
366.420	198.541
367.644	158.925
369.071	159.756
370.472	181.473
371.847	152.535
373.322	153.302
374.548	177.738
375.673	154.870
377.175	144.850
378.576	168.239
379.698	166.295
381.197	149.978
382.572	163.566
383.697	165.937
385.196	129.768
386.698	141.580
387.822	164.535
389.122	134.213
390.497	134.284
391.672	155.516
392.922	142.280
394.423	145.786
395.772	168.228
396.897	158.272
398.395	141.787
399.894	152.123
401.021	154.274
402.371	141.595
403.773	159.012
405.026	176.546
406.399	136.512
407.800	131.948
409.023	155.020
410.371	127.457
411.750	133.132
413.000	154.507
414.148	124.391
415.548	125.159
417.148	140.981
418.347	119.508
419.721	119.052
421.121	136.073
422.248	133.163
423.624	119.708
425.099	116.518
426.350	120.148
427.651	119.229
429.023	136.096
430.320	138.395
431.571	105.366
432.947	105.929
434.321	132.300
435.523	122.837
436.997	118.092
438.297	128.774
439.550	108.684
441.049	101.704
442.298	119.114
443.497	119.590
444.971	120.996
446.397	135.318
447.497	114.304
448.872	96.943
450.396	121.721
451.622	124.466
453.025	104.735
454.373	114.154
455.472	118.854
456.874	105.282
458.273	113.875
459.523	122.143
460.847	101.474
462.198	103.323
463.572	119.976
464.796	101.809
466.197	97.998
467.597	110.672
468.697	102.814
470.173	99.145
471.696	101.803
472.844	93.050
474.045	84.267
475.422	95.958
476.772	108.039
478.122	93.765
479.449	96.606
480.700	109.679
482.023	92.980
483.525	96.102
484.875	112.529
486.073	96.232
487.422	89.001
488.697	93.473
489.847	81.961
491.249	79.141
492.724	95.167
493.949	93.378
495.326	79.510
496.723	85.159
497.996	92.933
499.371	81.493
500.747	88.673
501.947	97.180
503.171	80.557
504.623	78.850
505.997	87.109
507.419	77.448
508.796	76.540
509.923	90.697
511.172	82.161
512.573	71.641
513.924	78.704
515.148	75.083
516.522	68.343
517.997	77.948
519.248	74.657
520.523	71.195
521.898	78.982
523.148	73.695
524.523	65.593
525.973	67.771
527.223	74.036
528.497	69.725
529.874	65.334
531.223	70.650
532.547	68.718
533.973	66.655
535.248	73.550
536.472	70.727
537.847	65.819
539.195	72.803
540.419	72.402
541.772	63.170
543.174	63.231
544.326	62.334
545.551	54.234
547.023	55.965
548.373	58.356
549.598	48.768
550.973	41.173
552.273	38.396
553.525	29.343
555.024	20.940
556.573	22.337
558.049	26.539
559.572	32.314
560.897	41.243
561.996	44.704
563.322	45.282
564.722	50.848
565.972	52.923
567.348	48.391
568.750	49.531
569.949	56.571
571.147	54.756
572.547	51.543
573.847	53.398
575.097	50.901
576.446	51.159
577.797	59.698
579.149	60.187
580.574	52.868
581.974	53.002
583.300	50.434
584.676	45.728
585.923	54.187
587.021	61.450
588.398	50.110
589.900	47.668
591.150	53.158
592.397	50.720
593.747	56.568
595.100	57.405
596.475	46.890
597.848	42.801
599.098	42.894
600.347	42.813
601.698	44.714
603.048	44.896
604.297	42.691
605.697	41.505
607.097	44.193
608.347	47.249
609.699	43.947
611.099	41.724
612.446	44.135
613.671	42.162
615.073	40.004
616.423	44.403
617.649	43.632
619.024	39.496
620.399	39.268
621.674	36.894
623.074	38.451
624.423	43.016
625.648	42.431
627.023	37.685
628.399	40.512
629.649	38.911
631.023	35.226
632.398	43.054
633.647	45.092
634.871	36.263
636.247	34.753
637.650	38.566
638.999	35.990
640.346	38.169
641.496	40.543
642.722	35.907
644.223	34.376
645.599	37.314
646.822	34.596
648.198	34.190
649.575	37.297
650.798	32.742
652.172	29.356
653.574	31.667
654.823	29.340
656.297	27.272
657.648	30.736
658.773	30.002
660.174	25.585
661.549	29.573
662.774	33.428
664.149	31.572
665.498	30.807
666.848	31.004
668.249	28.658
669.548	28.589
670.897	33.692
672.222	32.556
673.472	27.456
674.848	27.646
676.224	26.288
677.597	25.001
678.948	30.397
680.199	33.058
681.422	28.332
682.772	27.420
684.172	28.652
685.445	27.982
686.720	30.786
688.071	33.437
689.396	29.775
690.797	24.557
692.198	26.568
693.422	27.754
694.773	26.460
696.026	26.762
697.151	26.831
698.524	23.229
700.049	23.350
701.425	26.550
702.674	24.107
704.048	24.043
705.274	25.821
706.474	22.386
707.974	20.308
709.374	22.773
710.623	21.348
712.122	20.727
713.498	21.794
714.724	20.326
715.998	20.253
717.300	23.463
718.649	23.581
719.997	21.581
721.323	23.050
722.699	21.596
724.123	18.699
725.372	20.439
726.597	21.653
727.947	19.912
729.272	19.986
730.648	19.623
731.973	18.186
733.371	19.149
734.697	20.203
735.922	19.313
737.372	18.047
738.648	18.657
739.973	18.043
741.472	16.598
742.698	18.877
743.897	18.264
745.372	13.749
746.672	14.005
747.821	14.760
749.046	10.137
750.474	8.466
752.100	9.403
753.648	8.963
754.948	12.763
756.048	15.882
757.499	12.956
758.949	14.314
760.148	17.819
761.396	15.208
762.747	15.631
763.999	17.332
765.323	14.872
766.797	14.932
768.123	18.388
769.373	16.786
770.799	14.737
772.173	17.433
773.298	18.590
774.748	16.404
776.172	16.986
777.223	17.051
778.524	13.545
