Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
1	200.000	153.779	200.001
2	200.050	153.795	199.997
3	200.100	152.896	200.013
4	200.150	144.171	200.046
5	200.200	114.372	200.083
6	200.250	38.348	200.126
7	200.300	-59.100	200.167
8	200.350	-112.230	200.220
9	200.400	-160.439	200.268
10	200.450	-219.002	200.322
11	200.500	-273.607	200.373
12	200.550	-303.825	200.422
13	200.600	-339.232	200.472
14	200.650	-389.221	200.521
15	200.700	-450.652	200.573
16	200.750	-536.417	200.622
17	200.800	-657.127	200.670
18	200.850	-706.832	200.725
19	200.900	-611.196	200.770
20	200.950	-510.572	200.822
21	201.000	-491.591	200.871
22	201.050	-496.477	200.921
23	201.100	-434.341	200.976
24	201.150	-336.093	201.023
25	201.200	-241.186	201.073
26	201.250	-160.193	201.118
27	201.300	-93.326	201.170
28	201.350	1.455	201.223
29	201.400	124.294	201.273
30	201.450	173.223	201.320
31	201.500	152.297	201.374
32	201.550	130.763	201.421
33	201.600	158.570	201.474
34	201.650	185.937	201.530
35	201.700	184.599	201.568
36	201.750	226.298	201.626
37	201.800	339.636	201.673
38	201.850	485.814	201.722
39	201.900	587.483	201.776
40	201.950	594.737	201.823
41	202.000	556.796	201.876
42	202.050	520.039	201.919
43	202.100	495.589	201.967
44	202.150	478.772	202.024
45	202.200	464.663	202.076
46	202.250	484.373	202.125
47	202.300	509.773	202.175
48	202.350	475.874	202.225
49	202.400	407.411	202.275
50	202.450	307.309	202.323
51	202.500	170.647	202.374
52	202.550	27.459	202.421
53	202.600	-56.795	202.473
54	202.650	-97.253	202.522
55	202.700	-127.992	202.574
56	202.750	-146.061	202.620
57	202.800	-172.708	202.675
58	202.850	-263.953	202.726
59	202.900	-369.596	202.773
60	202.950	-420.721	202.820
61	203.000	-483.165	202.873
62	203.050	-542.312	202.923
63	203.100	-542.550	202.977
64	203.150	-522.695	203.022
65	203.200	-500.205	203.072
66	203.250	-482.875	203.125
67	203.300	-450.128	203.174
68	203.350	-412.851	203.223
69	203.400	-386.111	203.275
70	203.450	-332.340	203.324
71	203.500	-271.085	203.370
72	203.550	-180.823	203.426
73	203.600	-73.026	203.473
74	203.650	-5.348	203.522
75	203.700	31.189	203.577
76	203.750	73.137	203.627
77	203.800	105.718	203.670
78	203.850	114.216	203.723
79	203.900	110.629	203.777
80	203.950	104.335	203.823
81	204.000	106.247	203.875
82	204.050	107.357	203.921
83	204.100	108.996	203.972
84	204.150	105.707	204.019
85	204.200	106.641	204.069
86	204.250	122.832	204.124
87	204.300	136.352	204.170
88	204.350	139.786	204.224
89	204.400	134.315	204.271
90	204.450	128.198	204.324
91	204.500	136.522	204.374
92	204.550	159.903	204.422
93	204.600	176.987	204.475
94	204.650	182.696	204.528
95	204.700	203.618	204.579
96	204.750	236.562	204.622
97	204.800	269.661	204.674
98	204.850	268.605	204.721
99	204.900	239.636	204.772
100	204.950	209.462	204.828
101	205.000	197.077	204.870
102	205.050	205.084	204.918
103	205.100	188.254	204.980
104	205.150	152.133	205.021
105	205.200	157.154	205.071
106	205.250	189.300	205.119
107	205.300	192.936	205.178
108	205.350	146.264	205.225
109	205.400	89.900	205.278
110	205.450	47.726	205.321
111	205.500	-15.369	205.373
112	205.550	-87.622	205.425
113	205.600	-122.406	205.472
114	205.650	-110.863	205.524
115	205.700	-106.937	205.574
116	205.750	-139.575	205.624
117	205.800	-209.402	205.670
118	205.850	-280.796	205.720
119	205.900	-331.328	205.773
120	205.950	-380.732	205.823
121	206.000	-429.870	205.872
122	206.050	-480.219	205.922
123	206.100	-482.202	205.972
124	206.150	-456.185	206.024
125	206.200	-427.528	206.072
126	206.250	-433.175	206.121
127	206.300	-497.674	206.174
128	206.350	-546.541	206.221
129	206.400	-422.327	206.274
130	206.450	-275.933	206.324
131	206.500	-143.916	206.372
132	206.550	-1.729	206.422
133	206.600	139.715	206.471
134	206.650	172.879	206.526
135	206.700	147.585	206.574
136	206.750	115.574	206.620
137	206.800	120.869	206.673
138	206.850	184.615	206.724
139	206.900	342.518	206.774
140	206.950	458.589	206.820
141	207.000	470.954	206.874
142	207.050	456.907	206.923
143	207.100	421.727	206.971
144	207.150	347.974	207.021
145	207.200	283.383	207.074
146	207.250	260.616	207.123
147	207.300	280.714	207.176
148	207.350	317.260	207.220
149	207.400	348.770	207.273
150	207.450	312.691	207.324
151	207.500	204.076	207.373
152	207.550	105.017	207.421
153	207.600	59.356	207.472
154	207.650	60.246	207.526
155	207.700	40.582	207.573
156	207.750	19.517	207.622
157	207.800	10.937	207.675
158	207.850	15.111	207.716
159	207.900	23.039	207.769
160	207.950	17.246	207.819
161	208.000	-11.666	207.874
162	208.050	-20.263	207.922
163	208.100	-7.328	207.971
164	208.150	-2.992	208.024
165	208.200	-53.087	208.073
166	208.250	-116.622	208.124
167	208.300	-122.383	208.171
168	208.350	-117.018	208.220
169	208.400	-127.028	208.272
170	208.450	-173.082	208.321
171	208.500	-249.658	208.374
172	208.550	-292.192	208.424
173	208.600	-297.568	208.476
174	208.650	-302.408	208.523
175	208.700	-305.878	208.574
176	208.750	-300.341	208.622
177	208.800	-285.363	208.669
178	208.850	-280.832	208.722
179	208.900	-302.696	208.772
180	208.950	-326.833	208.821
181	209.000	-318.827	208.877
182	209.050	-295.302	208.929
183	209.100	-255.500	208.970
184	209.150	-180.161	209.024
185	209.200	-102.810	209.071
186	209.250	-60.746	209.122
187	209.300	-38.306	209.172
188	209.350	-30.971	209.221
