#Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)
1	900.000	-5.704	899.999
2	900.030	-5.673	900.001
3	900.030	-5.715	899.999
4	900.060	-5.576	900.009
5	900.090	-5.471	900.017
6	900.120	-5.270	900.027
7	900.150	-5.017	900.046
8	900.180	-4.812	900.060
9	900.210	-4.603	900.081
10	900.240	-4.410	900.103
11	900.270	-4.176	900.126
12	900.300	-3.977	900.146
13	900.330	-3.758	900.175
14	900.360	-3.446	900.200
15	900.390	-3.247	900.227
16	900.420	-2.797	900.255
17	900.450	-2.326	900.281
18	900.480	-1.926	900.310
19	900.510	-1.705	900.339
20	900.540	-1.197	900.371
21	900.570	-0.567	900.401
22	900.600	0.113	900.428
23	900.630	0.673	900.459
24	900.660	1.077	900.487
25	900.690	1.366	900.521
26	900.720	1.699	900.548
27	900.750	1.944	900.581
28	900.780	2.187	900.607
29	900.810	2.440	900.640
30	900.840	2.765	900.666
31	900.870	3.094	900.695
32	900.900	3.379	900.731
33	900.930	3.791	900.759
34	900.960	4.335	900.790
35	900.990	4.767	900.817
36	901.020	5.096	900.849
37	901.050	5.315	900.877
38	901.080	5.571	900.911
39	901.110	5.829	900.940
40	901.140	5.958	900.968
41	901.170	6.008	900.999
42	901.200	6.073	901.029
43	901.230	6.238	901.060
44	901.260	6.357	901.090
45	901.290	6.500	901.121
46	901.320	6.596	901.153
47	901.350	6.738	901.176
48	901.380	6.782	901.213
49	901.410	6.670	901.242
50	901.440	6.512	901.274
51	901.470	6.258	901.303
52	901.500	5.978	901.332
53	901.530	5.601	901.364
54	901.560	5.403	901.392
55	901.590	5.347	901.422
56	901.620	5.262	901.449
57	901.650	5.107	901.481
58	901.680	4.729	901.508
59	901.710	4.400	901.545
60	901.740	4.053	901.573
61	901.770	3.455	901.601
62	901.800	2.704	901.631
63	901.830	1.954	901.662
64	901.860	1.283	901.690
65	901.890	0.709	901.721
66	901.920	0.129	901.752
67	901.950	-0.393	901.782
68	901.980	-0.834	901.810
69	902.010	-1.129	901.839
70	902.040	-1.527	901.869
71	902.070	-1.870	901.902
72	902.100	-2.121	901.931
73	902.130	-2.406	901.961
74	902.160	-2.677	901.994
75	902.190	-2.958	902.022
76	902.220	-3.324	902.047
77	902.250	-3.694	902.083
78	902.280	-4.254	902.114
79	902.310	-4.773	902.142
80	902.340	-5.257	902.173
81	902.370	-5.534	902.203
82	902.400	-5.757	902.233
83	902.430	-5.772	902.260
84	902.460	-5.573	902.288
85	902.490	-5.580	902.326
86	902.520	-5.748	902.350
87	902.550	-5.870	902.384
88	902.580	-6.263	902.412
89	902.610	-6.601	902.444
90	902.640	-6.700	902.467
91	902.670	-6.874	902.503
92	902.700	-6.886	902.529
93	902.730	-6.923	902.560
94	902.760	-7.148	902.590
95	902.790	-7.261	902.618
96	902.820	-7.418	902.649
97	902.850	-7.209	902.681
98	902.880	-6.917	902.710
99	902.910	-6.601	902.741
100	902.940	-6.319	902.772
101	902.970	-6.007	902.801
102	903.000	-5.605	902.827
103	903.030	-5.101	902.862
104	903.060	-4.604	902.890
105	903.090	-4.144	902.922
106	903.120	-3.744	902.952
107	903.150	-3.215	902.980
108	903.180	-2.685	903.011
109	903.210	-2.208	903.043
110	903.240	-1.509	903.074
111	903.270	-0.875	903.100
112	903.300	-0.309	903.130
113	903.330	0.303	903.161
114	903.360	1.059	903.194
115	903.390	1.841	903.223
116	903.420	2.872	903.248
117	903.450	3.763	903.281
118	903.480	4.649	903.311
119	903.510	5.414	903.346
120	903.540	6.152	903.370
121	903.570	6.869	903.399
122	903.600	7.291	903.430
123	903.630	7.613	903.459
124	903.660	7.850	903.491
125	903.690	8.026	903.521
126	903.720	8.255	903.552
127	903.750	8.330	903.582
128	903.780	8.462	903.611
129	903.810	8.379	903.644
130	903.840	8.447	903.670
131	903.870	8.446	903.700
132	903.900	8.571	903.729
133	903.930	8.816	903.759
134	903.960	8.918	903.793
135	903.990	8.811	903.822
136	904.020	8.448	903.849
137	904.050	8.047	903.878
138	904.080	7.511	903.912
139	904.110	6.810	903.940
140	904.140	5.922	903.967
141	904.170	5.119	904.003
142	904.200	4.493	904.033
143	904.230	3.922	904.060
144	904.260	3.430	904.089
145	904.290	3.000	904.122
146	904.320	2.793	904.155
147	904.350	2.748	904.181
148	904.380	2.539	904.209
149	904.410	2.165	904.239
150	904.440	1.700	904.273
151	904.470	1.096	904.300
152	904.500	0.254	904.331
153	904.530	-0.541	904.361
154	904.560	-1.395	904.394
155	904.590	-2.272	904.423
156	904.620	-3.162	904.452
157	904.650	-4.073	904.482
158	904.680	-4.695	904.511
159	904.710	-5.153	904.542
160	904.740	-5.357	904.574
161	904.770	-5.466	904.601
162	904.800	-5.495	904.632
163	904.830	-5.545	904.659
164	904.860	-5.457	904.690
165	904.890	-5.654	904.724
166	904.920	-5.917	904.750
167	904.950	-6.242	904.782
168	904.980	-6.534	904.810
169	905.010	-6.795	904.841
170	905.040	-7.015	904.873
171	905.070	-7.134	904.899
172	905.100	-7.181	904.929
173	905.130	-7.143	904.963
174	905.160	-7.122	904.989
175	905.190	-7.008	905.021
176	905.220	-6.593	905.052
177	905.250	-6.293	905.079
178	905.280	-5.892	905.111
179	905.310	-5.705	905.140
180	905.340	-5.568	905.171
181	905.370	-5.463	905.205
182	905.400	-5.459	905.232
183	905.430	-5.378	905.262
184	905.460	-5.211	905.291
185	905.490	-5.030	905.320
186	905.520	-4.775	905.352
187	905.550	-4.481	905.384
188	905.580	-4.099	905.412
189	905.610	-3.667	905.442
190	905.640	-3.336	905.469
191	905.670	-2.858	905.503
192	905.700	-2.400	905.533
193	905.730	-1.747	905.561
194	905.760	-1.116	905.592
195	905.790	-0.639	905.620
196	905.820	-0.125	905.654
197	905.850	0.465	905.679
198	905.880	1.009	905.712
199	905.910	1.582	905.741
200	905.940	1.934	905.771
201	905.970	2.448	905.805
202	906.000	2.891	905.831
203	906.030	3.406	905.861
204	906.060	3.907	905.894
205	906.090	4.406	905.919
206	906.120	4.702	905.952
207	906.150	5.004	905.979
208	906.180	5.352	906.011
209	906.210	5.876	906.042
210	906.240	6.471	906.072
211	906.270	6.983	906.102
212	906.300	7.419	906.132
213	906.330	7.681	906.164
214	906.360	7.839	906.192
215	906.390	7.915	906.222
216	906.420	7.890	906.252
217	906.450	7.793	906.281
218	906.480	7.735	906.311
219	906.510	7.607	906.337
220	906.540	7.352	906.373
221	906.570	7.161	906.397
222	906.600	6.790	906.432
223	906.630	6.704	906.462
224	906.660	6.660	906.487
225	906.690	6.577	906.523
226	906.720	6.575	906.551
227	906.750	6.386	906.579
228	906.780	5.971	906.610
229	906.810	5.409	906.641
230	906.840	4.712	906.671
231	906.870	3.969	906.701
232	906.900	3.303	906.734
233	906.930	2.618	906.761
234	906.960	2.005	906.790
235	906.990	1.491	906.821
236	907.020	1.021	906.850
237	907.050	0.546	906.881
238	907.080	0.001	906.913
239	907.110	-0.495	906.943
240	907.140	-1.281	906.973
241	907.170	-1.701	907.001
242	907.200	-1.930	907.028
243	907.230	-2.293	907.061
244	907.260	-2.490	907.092
245	907.290	-3.013	907.121
246	907.320	-3.597	907.148
247	907.350	-4.099	907.180
248	907.380	-4.765	907.212
249	907.410	-5.343	907.242
250	907.440	-5.872	907.268
251	907.470	-6.400	907.301
252	907.500	-6.784	907.331
253	907.530	-7.085	907.361
254	907.560	-7.317	907.389
255	907.590	-7.317	907.422
256	907.620	-7.353	907.451
257	907.650	-7.398	907.481
258	907.680	-7.417	907.509
259	907.710	-7.285	907.543
260	907.740	-7.159	907.570
261	907.770	-7.179	907.599
262	907.800	-7.234	907.630
263	907.830	-7.319	907.661
264	907.860	-7.410	907.690
265	907.890	-7.419	907.722
266	907.920	-7.452	907.749
267	907.950	-7.387	907.778
268	907.980	-6.995	907.809
269	908.010	-6.187	907.840
270	908.040	-5.599	907.871
271	908.070	-4.785	907.899
272	908.100	-3.986	907.934
273	908.130	-3.543	907.956
274	908.160	-3.139	907.991
275	908.190	-2.752	908.024
276	908.220	-2.231	908.047
277	908.250	-1.680	908.080
278	908.280	-1.296	908.109
279	908.310	-0.903	908.144
280	908.340	-0.481	908.170
281	908.370	0.119	908.201
282	908.400	0.698	908.228
283	908.430	1.336	908.260
284	908.460	1.951	908.291
285	908.490	2.599	908.320
286	908.520	3.209	908.352
287	908.550	3.766	908.381
288	908.580	4.146	908.415
289	908.610	4.483	908.442
290	908.640	4.672	908.473
291	908.670	4.787	908.501
292	908.700	5.036	908.530
293	908.730	5.192	908.564
294	908.760	5.347	908.590
295	908.790	5.397	908.621
296	908.820	5.609	908.655
297	908.850	5.820	908.682
298	908.880	6.041	908.707
299	908.910	6.385	908.742
300	908.940	6.685	908.773
301	908.970	7.099	908.802
302	909.000	7.449	908.833
303	909.030	7.765	908.863
304	909.060	7.918	908.895
