#Frequency/(GHz)	Photocurrent/(nA)
901.931	7.100
903.221	8.168
904.361	8.049
905.576	7.548
906.986	7.684
908.322	7.685
909.492	7.167
910.766	8.044
912.072	9.108
913.361	7.577
914.622	6.724
915.987	7.212
917.276	6.470
918.595	6.905
919.915	8.636
921.086	8.279
922.406	7.919
923.711	7.724
924.910	7.131
926.365	6.957
927.745	7.724
928.854	8.398
930.025	7.515
931.422	6.874
932.832	7.581
933.989	7.089
935.366	6.728
936.759	7.641
937.977	7.573
939.344	6.617
940.708	6.678
941.847	7.060
943.048	6.473
944.487	6.060
945.866	6.567
947.035	6.574
948.279	6.408
949.616	7.075
950.832	6.615
952.183	6.352
953.609	6.689
954.837	6.536
956.172	6.072
957.536	6.780
958.735	8.016
960.072	7.458
961.377	6.757
962.532	6.828
963.850	6.428
965.185	6.825
966.460	7.572
967.705	7.090
969.040	6.073
970.361	5.926
971.530	6.906
972.939	7.055
974.305	6.878
975.461	7.282
976.646	7.014
977.979	6.523
979.376	6.523
980.622	6.103
981.852	5.962
983.173	5.741
984.403	4.803
985.692	3.825
987.088	3.464
988.437	4.228
989.829	4.392
991.058	4.286
992.229	4.943
993.594	4.740
995.019	4.481
996.250	5.282
997.360	5.388
998.710	4.278
1000.196	3.758
1001.485	3.788
1002.730	3.589
1004.066	3.669
1005.386	3.963
1006.691	3.456
1008.056	3.579
1009.286	4.531
1010.561	4.403
1011.927	4.448
1013.157	5.011
1014.386	5.011
1015.797	5.185
1017.162	6.043
1018.318	5.726
1019.667	4.914
1021.015	5.644
1022.185	6.195
1023.431	5.422
1024.828	5.689
1026.130	6.285
1027.299	6.023
1028.634	6.469
1029.969	6.883
1031.156	6.492
1032.508	6.186
1033.798	6.324
1034.996	6.399
1036.345	5.840
1037.637	6.246
1038.883	6.568
1040.111	5.668
1041.400	5.607
1042.723	5.579
1043.969	5.395
1045.316	5.292
1046.636	5.151
1047.806	5.110
1049.202	5.140
1050.539	5.437
1051.753	5.404
1052.982	5.030
1054.333	5.181
1055.740	5.718
1057.089	5.579
1058.412	5.574
1059.566	6.000
1060.766	5.852
1062.088	5.163
1063.362	5.198
1064.534	5.905
1065.810	5.751
1067.190	5.545
1068.509	5.612
1069.708	5.522
1071.055	5.357
1072.403	5.176
1073.531	4.820
1074.793	4.806
1076.112	5.142
1077.295	4.986
1078.556	4.673
1079.890	4.711
1081.179	4.570
1082.381	4.031
1083.687	4.097
1085.021	4.046
1086.219	3.378
1087.420	2.923
1088.667	2.906
1089.897	2.619
1091.097	1.866
1092.326	1.269
1093.570	0.738
1094.994	0.324
1097.036	0.228
1099.048	0.441
1100.397	0.812
1101.552	1.295
1102.764	1.744
1103.918	1.982
1105.120	2.401
1106.365	2.614
1107.550	2.394
1108.871	2.110
1110.132	1.826
1111.362	1.611
1112.862	1.479
1114.287	1.937
1115.473	2.398
1116.687	2.690
1118.021	3.181
1119.341	3.481
1120.539	3.484
1121.830	3.514
1123.165	3.726
1124.484	3.696
1125.730	3.430
1126.945	3.621
1128.162	4.023
1129.363	3.728
1130.712	3.777
1132.061	3.964
1133.276	3.998
1134.567	3.937
1135.839	3.735
1137.126	3.777
1138.449	3.411
1139.637	3.415
1140.911	3.901
1142.171	3.893
1143.474	3.453
1144.765	3.229
1145.937	3.158
1147.196	2.844
1148.412	2.413
1149.641	2.214
1150.885	1.876
1152.237	1.539
1153.616	1.474
1154.876	1.341
1156.151	1.183
1157.380	0.952
1158.505	0.669
1159.524	0.340
1161.489	0.073
1163.111	0.063
1164.089	0.249
1165.467	0.631
1166.618	1.058
1167.805	1.344
1168.991	1.805
1170.191	2.222
1171.452	2.258
1172.682	2.423
1173.865	2.836
1175.048	2.892
1176.430	2.582
1177.797	2.821
1178.921	3.142
1180.136	2.967
1181.488	2.755
1182.729	2.742
1183.986	2.739
1185.339	2.769
1186.511	2.987
1187.728	2.948
1188.987	2.852
1190.321	3.012
1191.612	3.161
1192.916	2.998
1194.249	3.021
1195.419	3.184
1196.665	2.868
1197.942	2.551
